Data As Of,Start Date,End Date,MMWR Year,MMWR Week,Week-Ending Date,Jurisdiction of Occurrence,Urbanization Classification,COVID-19 Deaths,Total Deaths,Footnote
05/05/2021,01/17/2021,01/23/2021,2021,3,01/23/2021,United States,Nonmetropolitan,2456,11020,
05/05/2021,01/24/2021,01/30/2021,2021,4,01/30/2021,United States,All Counties in the U.S.,19266,75701,
05/05/2021,01/24/2021,01/30/2021,2021,4,01/30/2021,United States,Metropolitan,17166,65335,
05/05/2021,01/24/2021,01/30/2021,2021,4,01/30/2021,United States,Nonmetropolitan,2100,10366,
05/05/2021,01/31/2021,02/06/2021,2021,5,02/06/2021,United States,All Counties in the U.S.,16165,73148,
05/05/2021,01/31/2021,02/06/2021,2021,5,02/06/2021,United States,Metropolitan,14592,63213,
05/05/2021,01/31/2021,02/06/2021,2021,5,02/06/2021,United States,Nonmetropolitan,1573,9935,
05/05/2021,02/07/2021,02/13/2021,2021,6,02/13/2021,United States,All Counties in the U.S.,12760,68140,
05/05/2021,02/07/2021,02/13/2021,2021,6,02/13/2021,United States,Metropolitan,11592,58811,
05/05/2021,02/07/2021,02/13/2021,2021,6,02/13/2021,United States,Nonmetropolitan,1168,9329,
05/05/2021,02/14/2021,02/20/2021,2021,7,02/20/2021,United States,All Counties in the U.S.,10206,65923,
05/05/2021,02/14/2021,02/20/2021,2021,7,02/20/2021,United States,Metropolitan,9323,56662,
05/05/2021,02/14/2021,02/20/2021,2021,7,02/20/2021,United States,Nonmetropolitan,883,9261,
05/05/2021,02/21/2021,02/27/2021,2021,8,02/27/2021,United States,All Counties in the U.S.,8142,63056,
05/05/2021,02/21/2021,02/27/2021,2021,8,02/27/2021,United States,Metropolitan,7426,54194,
05/05/2021,02/21/2021,02/27/2021,2021,8,02/27/2021,United States,Nonmetropolitan,716,8862,
05/05/2021,02/28/2021,03/06/2021,2021,9,03/06/2021,United States,All Counties in the U.S.,6323,59735,
05/05/2021,02/28/2021,03/06/2021,2021,9,03/06/2021,United States,Metropolitan,5798,51474,
05/05/2021,02/28/2021,03/06/2021,2021,9,03/06/2021,United States,Nonmetropolitan,525,8261,
05/05/2021,03/07/2021,03/13/2021,2021,10,03/13/2021,United States,All Counties in the U.S.,5318,57779,
05/05/2021,03/07/2021,03/13/2021,2021,10,03/13/2021,United States,Metropolitan,4872,49663,
05/05/2021,03/07/2021,03/13/2021,2021,10,03/13/2021,United States,Nonmetropolitan,446,8116,
05/05/2021,03/14/2021,03/20/2021,2021,11,03/20/2021,United States,All Counties in the U.S.,4505,55858,
05/05/2021,03/14/2021,03/20/2021,2021,11,03/20/2021,United States,Metropolitan,4131,48154,
05/05/2021,03/14/2021,03/20/2021,2021,11,03/20/2021,United States,Nonmetropolitan,374,7704,
05/05/2021,03/21/2021,03/27/2021,2021,12,03/27/2021,United States,All Counties in the U.S.,4036,54993,
05/05/2021,03/21/2021,03/27/2021,2021,12,03/27/2021,United States,Metropolitan,3726,47272,
05/05/2021,03/21/2021,03/27/2021,2021,12,03/27/2021,United States,Nonmetropolitan,310,7721,
05/05/2021,03/28/2021,04/03/2021,2021,13,04/03/2021,United States,All Counties in the U.S.,3682,51946,
05/05/2021,03/28/2021,04/03/2021,2021,13,04/03/2021,United States,Metropolitan,3369,44666,
05/05/2021,03/28/2021,04/03/2021,2021,13,04/03/2021,United States,Nonmetropolitan,313,7280,
05/05/2021,04/04/2021,04/10/2021,2021,14,04/10/2021,United States,All Counties in the U.S.,3574,49992,
05/05/2021,04/04/2021,04/10/2021,2021,14,04/10/2021,United States,Metropolitan,3299,42900,
05/05/2021,04/04/2021,04/10/2021,2021,14,04/10/2021,United States,Nonmetropolitan,275,7092,
05/05/2021,04/11/2021,04/17/2021,2021,15,04/17/2021,United States,All Counties in the U.S.,3016,39625,
05/05/2021,04/11/2021,04/17/2021,2021,15,04/17/2021,United States,Metropolitan,2776,33876,
05/05/2021,04/11/2021,04/17/2021,2021,15,04/17/2021,United States,Nonmetropolitan,240,5749,
05/05/2021,04/18/2021,04/24/2021,2021,16,04/24/2021,United States,All Counties in the U.S.,2295,29487,
05/05/2021,04/18/2021,04/24/2021,2021,16,04/24/2021,United States,Metropolitan,2103,25202,
05/05/2021,04/18/2021,04/24/2021,2021,16,04/24/2021,United States,Nonmetropolitan,192,4285,
05/05/2021,04/25/2021,05/01/2021,2021,17,05/01/2021,United States,All Counties in the U.S.,658,8742,
05/05/2021,04/25/2021,05/01/2021,2021,17,05/01/2021,United States,Metropolitan,598,7356,
05/05/2021,04/25/2021,05/01/2021,2021,17,05/01/2021,United States,Nonmetropolitan,60,1386,
